#name	fraction_identities
cds:ABV82566 A/Texas/UR06-0566/2007 2007/03/09 NP	0.94177
cds:ACD85433 A/Managua/20/2007 2007/06/22 NP	0.94177
cds:ACI26520 A/Pennsylvania/PIT25/2008 2008/02/11 NP	0.94177
cds:ACN32907 A/Ohio/UR07-0031/2008 2008/02/18 NP	0.94177
cds:ACN33028 A/New York/UR07-0111/2008 2008/02/28 NP	0.94177
cds:ACN33039 A/Kansas/UR07-0137/2008 2008/03/05 NP	0.94177
cds:ACN43062 A/Kentucky/UR07-0124/2008 2008/03/04 NP	0.94177
cds:ACO36335 A/Pennsylvania/PIT37/2008 2008/02/05 NP	0.94177
cds:ACO94602 A/Thailand/CU370/2008 2008// NP	0.94177
cds:ACR15418 A/Managua/3012.01/2007 2007/06/08 NP	0.94177
cds:ACT21512 A/Canterbury/200/2004 2004/09/16 NP	0.94177
cds:ACU80315 A/Boston/39/2008 2008/02/14 NP	0.94177
cds:ACU80725 A/Boston/78/2008 2008/03/11 NP	0.94177
cds:ACX46224 A/California/7/2004 2004/09/16 NP	0.94177
cds:ACZ05220 A/New York/3060/2009 2009/04/27 NP	0.94177
cds:ADD21444 A/Nanjing/1/2009 2009/04/10 NP	0.94177
cds:ADK45458 A/California/VRDL307/2009 2009/05/02 NP	0.94177
cds:ADK98748 A/California/VRDL188/2009 2009/04/29 NP	0.94177
cds:ADK98858 A/California/VRDL250/2009 2009/04/29 NP	0.94177
cds:ADL39182 A/Florida/WRAIR1039P/2009 2009/05/ NP	0.94177
cds:ADL39336 A/Kuwait/WRAIR1143P/2009 2009/01/ NP	0.94177
cds:ADL39380 A/Iraq/WRAIR1157P/2009 2009/02/ NP	0.94177
cds:ADN92501 A/Thailand/CU-H1817/2010 2010/03/25 NP	0.94177
cds:ADV76583 A/New York/3745/2009 2009/05/17 NP	0.94177
cds:ADV76635 A/New York/3932/2009 2009/06/04 NP	0.94177
cds:AEA03732 A/Uganda/MUWRP-003/2008 2008/10/13 NP	0.94177
cds:AEA03859 A/Uganda/MUWRP-016/2008 2008/11/06 NP	0.94177
cds:AEA03923 A/Uganda/MUWRP-023/2008 2008/11/17 NP	0.94177
cds:BAH80438 A/New York/55/2004 2004// NP	0.94177
Brisbane2007-NP:coding_sequence_from_pHWBR10-NP_#589 A/Brisbane/10/2007 2007/02/06 NP	0.94378
cds:AAZ38576 A/New York/387/2004 2004/12/27 NP	0.94378
cds:AAZ74467 A/New York/370/2004 2004/12/20 NP	0.94378
cds:AAZ79597 A/New York/360/2004 2004/11/18 NP	0.94378
cds:AAZ79952 A/New York/353/2004 2004/11/05 NP	0.94378
cds:AAZ83653 A/New York/380/2004 2004/12/26 NP	0.94378
cds:ABA26704 A/Christchurch/10/2004 2004/07/20 NP	0.94378
cds:ABB03083 A/New York/468/2004 2004/09/17 NP	0.94378
cds:ABB53618 A/New York/355/2004 2004/11/01 NP	0.94378
cds:ABC42732 A/Canterbury/104/2004 2004/09/07 NP	0.94378
cds:ABC84502 A/Canterbury/186/2005 2005/07/11 NP	0.94378
cds:ABG80319 A/Waikato/21/2004 2004/09/05 NP	0.94378
cds:ABI92416 A/Wellington/4/2005 2005/07/12 NP	0.94378
cds:ABM22151 A/Queensland/56/2005 2005/08/16 NP	0.94378
cds:ABN51014 A/New York/923/2006 2006/02/23 NP	0.94378
cds:ABW81598 A/Denmark/68/2005 2005// NP	0.94378
cds:ABW81622 A/Denmark/35/2006 2006// NP	0.94378
cds:ACR15528 A/Hong Kong/HKU18/2004 2004/05/28 NP	0.94378
cds:ACR15605 A/Hong Kong/HKU77/2005 2005/06/29 NP	0.94378
cds:ACT21513 A/Canterbury/200/2004 2004/09/16 NP	0.94378
cds:ACX46204 A/Wisconsin/67/2005 2005/08/31 NP	0.94378
cds:ACX46211 A/Nepal/921/2006 2006/07/11 NP	0.94378
cds:ACX46227 A/Malaysia/1/2004 2004/02/02 NP	0.94378
cds:ADK45436 A/California/VRDL302/2009 2009/04/28 NP	0.94378
cds:ADK45447 A/California/VRDL304/2009 2009/05/07 NP	0.94378
cds:ADK99034 A/California/VRDL285/2009 2009/04/30 NP	0.94378
cds:ADK99144 A/California/VRDL317/2009 2009/05/06 NP	0.94378
cds:ADN92468 A/Thailand/CU-H1071/2009 2009/12/10 NP	0.94378
cds:ADR78616 A/Nanjing/1655/2010 2010/09/10 NP	0.94378
cds:AAZ38587 A/New York/379/2004 2004/11/30 NP	0.94567
cds:AAZ74434 A/New York/285/1999 1999/01/25 NP	0.94567
cds:AAX11539 A/New York/42/2003 2003/12/08 NP	0.94578
cds:AAX38241 A/New York/82/2001 2001/12/26 NP	0.94578
cds:AAZ38510 A/New York/359/2005 2005/01/17 NP	0.94578
cds:AAZ74544 A/New York/383/2004 2004/12/29 NP	0.94578
cds:ABA12788 A/New York/394/2005 2005/01/04 NP	0.94578
cds:ABA26792 A/Christchurch/297/2004 2004/10/13 NP	0.94578
cds:ABC41968 A/Canterbury/392/2003 2003/08/17 NP	0.94578
cds:ABC42622 A/Bay of Plenty/332/2004 2004/10/17 NP	0.94578
cds:ABC42743 A/Canterbury/105/2004 2004/09/07 NP	0.94578
cds:ABC42765 A/Canterbury/107/2004 2004/09/12 NP	0.94578
cds:ABC42842 A/Canterbury/304/2004 2004/10/04 NP	0.94578
cds:ABC43076 A/Canterbury/439/2003 2003/07/17 NP	0.94578
cds:ABC43501 A/Canterbury/100/2004 2004/09/10 NP	0.94578
cds:ABC43512 A/Canterbury/101/2004 2004/09/09 NP	0.94578
cds:ABC50402 A/Canterbury/01/2005 2005/03/04 NP	0.94578
cds:ABC68004 A/Canterbury/34/2002 2002/06/18 NP	0.94578
cds:ABC86000 A/Canterbury/312/2004 2004/10/10 NP	0.94578
cds:ABD59863 A/TW/3565/02 2002// NP	0.94578
cds:ABG48196 A/Waikato/51/2002 2002/08/12 NP	0.94578
cds:ABI92900 A/Western Australia/61/2004 2004/10/14 NP	0.94578
cds:ABJ09243 A/Western Australia/12/2000 2000/10/11 NP	0.94578
cds:ABM67033 A/New York/928/2006 2006/02/28 NP	0.94578
cds:ABV29913 A/New York/UR06-0515/2007 2007/03/05 NP	0.94578
cds:ABV30265 A/Texas/UR06-0480/2007 2007/03/02 NP	0.94578
cds:ABV30386 A/New York/UR06-0373/2007 2007/02/21 NP	0.94578
cds:ABW81610 A/California/07/2005 2005// NP	0.94578
cds:ABW81623 A/Denmark/112/2006 2006// NP	0.94578
cds:ACF41904 A/New York/55/2004 2004// NP	0.94578
cds:ACL12254 A/Ohio/UR07-0140/2008 2008/03/06 NP	0.94578
cds:ACO94589 A/Thailand/CU23/2006 2006// NP	0.94578
cds:ACO94603 A/Thailand/CU379/2008 2008// NP	0.94578
cds:ACQ65706 A/Taiwan/70113/2007 2007/01/15 NP	0.94578
cds:ADI99511 A/Fukui/20/2004 2004// NP	0.94578
cds:ADL39435 A/Delware/WRAIR1240/2009 2009/02/ NP	0.94578
cds:AEA03743 A/Uganda/MUWRP-005/2008 2008/10/16 NP	0.94578
cds:AEB71940 A/Boston/73/2009 2009/04/01 NP	0.94578
cds:BAG84377 A/Sendai-H/F005/2006 2006// NP	0.94578
cds:BAG84383 A/Sendai-H/F193/2007 2007// NP	0.94578
cds:AAX11479 A/New York/28/2003 2003/11/19 NP	0.94779
cds:AAX11499 A/New York/32/2003 2003/11/29 NP	0.94779
cds:AAX12745 A/New York/23/2003 2003/12/16 NP	0.94779
cds:AAX12815 A/New York/121/2002 2002/02/26 NP	0.94779
cds:AAX35825 A/New York/52/2004 2004/02/05 NP	0.94779
cds:AAX35835 A/New York/53/2003 2003/12/11 NP	0.94779
cds:AAX35845 A/New York/86/2002 2002/03/01 NP	0.94779
cds:AAX56604 A/New York/4/2003 2003/12/08 NP	0.94779
cds:AAX76737 A/New York/193/2003 2003/02/19 NP	0.94779
cds:AAY18589 A/New York/93/2002 2002/02/19 NP	0.94779
cds:AAY28409 A/New York/122/2002 2002/03/21 NP	0.94779
cds:AAY28575 A/New York/26/2003 2003/12/02 NP	0.94779
cds:AAY28585 A/New York/81/2002 2002/02/19 NP	0.94779
cds:AAY44614 A/New York/9/2003 2003/10/31 NP	0.94779
cds:AAY44625 A/New York/97/2002 2002/02/13 NP	0.94779
cds:AAY46385 A/New York/20/2003 2003/12/01 NP	0.94779
cds:AAZ79978 A/New York/384/2005 2005/01/06 NP	0.94779
cds:ABA42339 A/New York/403/2002 2002/01/04 NP	0.94779
cds:ABA42361 A/New York/406/2002 2002/01/08 NP	0.94779
cds:ABA43171 A/New York/364/2004 2004/12/28 NP	0.94779
cds:ABB04987 A/New York/420/2002 2002/01/28 NP	0.94779
cds:ABB80233 A/New York/521/1998 1998/01/19 NP	0.94779
cds:ABC42933 A/Canterbury/399/2003 2003/07/05 NP	0.94779
cds:ABC50303 A/Canterbury/53/2002 2002/06/10 NP	0.94779
cds:ABC50391 A/Canterbury/102/2002 2002/05/23 NP	0.94779
cds:ABC67668 A/Canterbury/24/2005 2005/05/04 NP	0.94779
cds:ABC67679 A/Canterbury/29/2005 2005/05/27 NP	0.94779
cds:ABC67723 A/Canterbury/166/2005 2005/07/08 NP	0.94779
cds:ABC67876 A/Canterbury/42/2000 2000/08/25 NP	0.94779
cds:ABC68097 A/Canterbury/72/2002 2002/07/06 NP	0.94779
cds:ABC85802 A/Canterbury/269/2005 2005/09/09 NP	0.94779
cds:ABD15464 A/New York/478/2003 2003/11/21 NP	0.94779
cds:ABD15475 A/New York/476/2003 2003/12/15 NP	0.94779
cds:ABD38138 A/Canterbury/61/2002 2002/06/30 NP	0.94779
cds:ABD77624 A/West Coast/32/2001 2001/07/03 NP	0.94779
cds:ABG37586 A/Wellington/28/2003 2003/06/24 NP	0.94779
cds:ABG37597 A/Waikato/61/2003 2003/06/30 NP	0.94779
cds:ABG48119 A/Dunedin/9/2002 2002/07/09 NP	0.94779
cds:ABG48163 A/Wellington/80/2002 2002/08/20 NP	0.94779
cds:ABG67506 A/Wellington/34/2001 2001/08/28 NP	0.94779
cds:ABG67517 A/Waikato/105/2001 2001/09/13 NP	0.94779
cds:ABG67583 A/Waikato/115/2003 2003/07/06 NP	0.94779
cds:ABG67594 A/Wellington/53/2003 2003/07/16 NP	0.94779
cds:ABG67605 A/Waikato/122/2003 2003/06/25 NP	0.94779
cds:ABG80209 A/Waikato/4/2000 2000/08/28 NP	0.94779
cds:ABG88656 A/Waikato/21/2003 2003/06/21 NP	0.94779
cds:ABG88810 A/Western Australia/23/2002 2002/06/25 NP	0.94779
cds:ABG88821 A/New York/5/2006 2006/04/05 NP	0.94779
cds:ABI21039 A/Waikato/15/2003 2003/06/16 NP	0.94779
cds:ABI30613 A/Otago/1/2005 2005/07/01 NP	0.94779
cds:ABI92680 A/Western Australia/40/2003 2003/09/17 NP	0.94779
cds:ABI92691 A/Western Australia/41/2003 2003/09/23 NP	0.94779
cds:ABJ09111 A/Canterbury/75/2000 2000/09/14 NP	0.94779
cds:ABJ16756 A/South Australia/67/2000 2000// NP	0.94779
cds:ABK39966 A/Western Australia/32/2002 2002/08/26 NP	0.94779
cds:ABK39977 A/Western Australia/76/2005 2005/08/01 NP	0.94779
cds:ABK40065 A/South Australia/52/2000 2000// NP	0.94779
cds:ABK79985 A/South Australia/75/2000 2000// NP	0.94779
cds:ABK80106 A/Queensland/9/2000 2000/08/28 NP	0.94779
cds:ABK80117 A/Queensland/11/2001 2001/08/11 NP	0.94779
cds:ABK80172 A/Queensland/21/2002 2002/07/26 NP	0.94779
cds:ABM22140 A/Queensland/54/2005 2005/08/11 NP	0.94779
cds:ABN51025 A/New York/928/2006 2006/02/28 NP	0.94779
cds:ABQ01337 A/South Australia/16/2000 2000// NP	0.94779
cds:ABW81603 A/Denmark/05/2002 2002// NP	0.94779
cds:ABW81628 A/Wisconsin/67/2005 2005/08/ NP	0.94779
cds:ACC60959 A/Hiroshima/52/2005 2005// NP	0.94779
cds:ACF09407 A/Guangdong/03/2005 2005// NP	0.94779
cds:ACN32538 A/Genoa/14/2003 2003/10/24 NP	0.94779
cds:ACO36566 A/Hong Kong/HKU36/2004 2004/09/02 NP	0.94779
cds:ACP44251 A/Hong Kong/HKU32/2004 2004/08/02 NP	0.94779
cds:ACR15561 A/Hong Kong/HKU52/2005 2005/04/16 NP	0.94779
cds:ADK99188 A/California/VRDL322/2009 2009/05/04 NP	0.94779
cds:BAG84385 A/Sendai-H/441/2007 2007// NP	0.94779
cds:BAH03554 A/Morioka/17/2006 2006/02/03 NP	0.94779
cds:CAD30200 A/Switzerland/9243/99  1999// NP	0.94779
cds:AAK18006 A/Hong Kong/498/97 1997// NP	0.94980
cds:AAX11459 A/New York/61A/2003 2003/12/20 NP	0.94980
cds:AAX47529 A/New York/96/2002 2002/01/18 NP	0.94980
cds:AAX57948 A/New York/192/2003 2003/02/04 NP	0.94980
cds:AAX76657 A/New York/46/2003 2003/12/09 NP	0.94980
cds:AAY27857 A/New York/51/2003 2003/12/10 NP	0.94980
cds:AAZ38466 A/New York/278/1999 1999/02/04 NP	0.94980
cds:AAZ38499 A/New York/332/1999 1999/02/17 NP	0.94980
cds:AAZ83246 A/New York/204/2003 2003/08/16 NP	0.94980
cds:ABB80211 A/New York/520/1998 1998/01/05 NP	0.94980
cds:ABC02303 A/New York/538/1998 1998/02/08 NP	0.94980
cds:ABC67712 A/Canterbury/129/2005 2005/07/03 NP	0.94980
cds:ABC84564 A/Canterbury/88/2000 2000/10/02 NP	0.94980
cds:ABD15750 A/Canterbury/81/2000 2000/09/21 NP	0.94980
cds:ABD59868 A/TW/875/04 2004// NP	0.94980
cds:ABD77668 A/Canterbury/149/2001 2001/08/13 NP	0.94980
cds:ABD94826 A/New York/536/1998 1998/02/03 NP	0.94980
cds:ABI92559 A/Western Australia/25/2002 2002/07/10 NP	0.94980
cds:ABI92856 A/Western Australia/57/2004 2004/10/07 NP	0.94980
cds:ABI93054 A/New South Wales/13/1999 1999// NP	0.94980
cds:ABO52075 A/Waikato/31/2004 2004/09/03 NP	0.94980
cds:ABV30254 A/California/UR06-0118/2007 2007/01/29 NP	0.94980
cds:ABV30419 A/Alabama/UR06-0545/2007 2007/03/07 NP	0.94980
cds:ABW81626 A/Denmark/1-2/2004 2004// NP	0.94980
cds:ACU12531 A/Hong Kong/HKU49/2005 2005/04/04 NP	0.94980
cds:BAA86068 A/Nagasaki/93/98 1998// NP	0.94980
cds:AAZ83316 A/New York/251/1998 1998/12/28 NP	0.95161
cds:AAX47519 A/New York/129/2002 2002/02/12 NP	0.95181
cds:AAX56384 A/New York/15/2003 2003/11/12 NP	0.95181
cds:AAX57868 A/New York/173/2000 2000/02/02 NP	0.95181
cds:AAX57898 A/New York/176/2000 2000/03/01 NP	0.95181
cds:AAX57908 A/New York/177/1999 1999/10/25 NP	0.95181
cds:AAY18190 A/New York/189/1999 1999/12/20 NP	0.95181
cds:AAY18200 A/New York/198/2003 2003/03/08 NP	0.95181
cds:AAY28359 A/New York/181/1999 1999/12/05 NP	0.95181
cds:AAY28369 A/New York/152/2000 2000/01/18 NP	0.95181
cds:AAY46420 A/New York/240/1998 1998/12/28 NP	0.95181
cds:AAY98380 A/New York/336/1999 1999/02/24 NP	0.95181
cds:AAZ74390 A/New York/254/1998 1998/12/31 NP	0.95181
cds:AAZ74412 A/New York/322/1999 1999/03/18 NP	0.95181
cds:AAZ79564 A/New York/325/1999 1999/02/26 NP	0.95181
cds:AAZ83270 A/New York/252/1999 1999/01/12 NP	0.95181
cds:ABB05209 A/New York/428/1999 1999/09/28 NP	0.95181
cds:ABB05220 A/New York/429/2000 2000/01/03 NP	0.95181
cds:ABB46429 A/New York/455/1999 1999/01/14 NP	0.95181
cds:ABB53700 A/New York/397/1999 1999/02/04 NP	0.95181
cds:ABB60000 A/New York/505/1997 1997/12/02 NP	0.95181
cds:ABB80533 A/New York/531/1998 1998/02/22 NP	0.95181
cds:ABB80676 A/New York/541/1998 1998/03/12 NP	0.95181
cds:ABB80686 A/New York/542/1998 1998/02/19 NP	0.95181
cds:ABC43021 A/South Canterbury/433/2003 2003/08/22 NP	0.95181
cds:ABC67580 A/New York/526/1997 1997/12/29 NP	0.95181
cds:ABD94837 A/New York/562/1996 1996/12/13 NP	0.95181
cds:ABE13333 A/New York/578/1996 1996/12/27 NP	0.95181
cds:ABE73100 A/Moscow/10/1999 1999// NP	0.95181
cds:ABF47862 A/New York/733/1994 1994/02/07 NP	0.95181
cds:ABG37157 A/New York/624/1996 1996/02/16 NP	0.95181
cds:ABG47855 A/New York/647/1995 1995/12/27 NP	0.95181
cds:ABG67139 A/New York/556/1996 1996/11/19 NP	0.95181
cds:ABG80231 A/Dunedin/3/2002 2002/06/07 NP	0.95181
cds:ABI30880 A/New York/7/2006 2006/04/05 NP	0.95181
cds:ABI92515 A/Western Australia/13/2001 2001/07/11 NP	0.95181
cds:ABJ09265 A/New South Wales/5/1999 1999// NP	0.95181
cds:ABJ09276 A/New South Wales/6/1999 1999// NP	0.95181
cds:ABJ16591 A/New South Wales/4/1999 1999// NP	0.95181
cds:ABK40627 A/Queensland/4/2000 2000/09/05 NP	0.95181
cds:ABK80205 A/Queensland/26/2002 2002/08/06 NP	0.95181
cds:ABN51058 A/New York/938/2006 2006/03/02 NP	0.95181
cds:ABW81612 A/New York/55/2001 2001// NP	0.95181
cds:ACO36676 A/Hong Kong/HKU71/2005 2005/05/31 NP	0.95181
cds:BAA86067 A/Nagasaki/76/98 1998// NP	0.95181
cds:AAC63466 A/Fukushima/140/96 1996// NP	0.95382
cds:AAX56544 A/New York/149/1999 1999/11/29 NP	0.95382
cds:ABC50182 A/New York/511/1997 1997/12/17 NP	0.95382
cds:ABD77855 A/New York/580/1996 1996/12/05 NP	0.95382
cds:ABD94936 A/New York/600/1996 1996/12/23 NP	0.95382
cds:ABE14056 A/New York/625/1996 1996/01/15 NP	0.95382
cds:ABG37377 A/Waikato/1/2000 2000/08/09 NP	0.95382
cds:ABG67183 A/New York/675/1995 1995/01/24 NP	0.95382
cds:ABG79978 A/New York/661/1994 1994/12/15 NP	0.95382
cds:ABJ09287 A/New South Wales/8/1999 1999// NP	0.95382
cds:ABK40660 A/New York/681/1995 1995/02/20 NP	0.95382
cds:ABW81627 A/Denmark/13/2003 2003// NP	0.95382
cds:AAC63425 A/Akita/1/94 1994// NP	0.95582
cds:ABB82187 A/New York/435/2000 2000/01/09 NP	0.95582
cds:ABD94892 A/New York/592/1996 1996/12/04 NP	0.95582
cds:ABE13643 A/New York/611/1995 1995/12/28 NP	0.95582
cds:ABE14484 A/New York/634/1995 1995/12/08 NP	0.95582
cds:ABG26861 A/New York/695/1995 1995/03/02 NP	0.95582
cds:ABG37289 A/New York/669/1995 1995/01/11 NP	0.95582
cds:ABG47921 A/New York/709/1994 1994/01/06 NP	0.95582
cds:ABG47932 A/New York/711/1994 1994/01/12 NP	0.95582
cds:ABG47954 A/New York/715/1994 1994/07/29 NP	0.95582
cds:ABG48042 A/New York/752/1993 1993/12/30 NP	0.95582
cds:ABG67205 A/New York/682/1995 1995/03/01 NP	0.95582
cds:ABG80011 A/New York/666/1995 1995/02/08 NP	0.95582
cds:ABG80110 A/New York/713/1994 1994/02/14 NP	0.95582
cds:ABG88425 A/New York/723/1994 1994/01/02 NP	0.95582
cds:CAD30201 A/Bratislava/6/97 1997// NP	0.95582
cds:AAA51513 A/Shanghai/6/1990 1990// NP	0.95783
cds:AAA51514 A/Shanghai/31/1980 1980// NP	0.95783
cds:AAX39499 A/Netherlands/18/94 1994// NP	0.95783
cds:ABB46407 A/Hong Kong/1/1982 1982// NP	0.95783
cds:ABD79248 A/New York/590/1996 1996/12/10 NP	0.95783
cds:ABE13108 A/New York/572/1996 1996/12/12 NP	0.95783
cds:ABG37179 A/New York/635/1996 1996/01/18 NP	0.95783
cds:ABG37245 A/New York/658/1995 1995/02/21 NP	0.95783
cds:ADJ41809 A/Philippines/2/1982 1982/06/01 NP	0.95783
cds:AAA51509 A/Memphis/2/1985 1985// NP	0.95943
cds:AAA51483 A/Beijing/352/1989 1989// NP	0.95984
cds:AAA51493 A/Memphis/3/1988 1988// NP	0.95984
cds:AAA51515 A/Shanghai/11/1987 1987// NP	0.95984
cds:ABC39809 A/Nanjing/36/1983 1983// NP	0.95984
cds:ABG37234 A/New York/654/1994 1994/11/03 NP	0.95984
cds:ABG48031 A/New York/728/1994 1994/02/01 NP	0.95984
cds:ABG67161 A/New York/657/1994 1994/12/02 NP	0.95984
cds:AAA51507 A/Memphis/6/1990 1990// NP	0.96146
cds:AAA51510 A/Memphis/5/1985 1985// NP	0.96146
cds:AAA51505 A/Memphis/4/1980 1980// NP	0.96185
cds:AAA51508 A/Memphis/5/1980 1980// NP	0.96185
cds:ABB04910 A/Hong Kong/14/1992 1992// NP	0.96185
cds:ABB96502 A/Nanjing/2/1982 1982// NP	0.96185
cds:ABD61533 A/Memphis/33/1983 1983// NP	0.96185
cds:ABD61781 A/Memphis/2/1985 1985// NP	0.96185
cds:ABF21285 A/Leningrad/360/1986 1986// NP	0.96185
cds:ABI20885 A/New York/660/1995 1995/03/02 NP	0.96185
cds:AAA51512 A/Memphis/6/1986 1986// NP	0.96386
cds:AAC63427 A/Shiga/20/95 1995// NP	0.96386
cds:AAC63462 A/Kitakyushu/159/93 1993// NP	0.96386
cds:ABC84535 A/Memphis/5/1985 1985// NP	0.96386
cds:ABD16575 A/Memphis/7/1990 1990// NP	0.96386
cds:ABD16597 A/Memphis/5/1988 1988// NP	0.96386
cds:ABF21283 A/Beijing/353/1989 1989// NP	0.96386
cds:ABG26850 A/New York/692/1995 1995/01/18 NP	0.96386
cds:ABG48306 A/New York/759/1993 1993/03/08 NP	0.96386
cds:ABG48328 A/New York/761/1993 1993/03/03 NP	0.96386
cds:ABG80396 A/New York/777/1993 1993/03/20 NP	0.96386
cds:ABI21270 A/New York/768/1993 1993/03/09 NP	0.96386
cds:ABI21402 A/New York/791/1993 1993/03/11 NP	0.96386
cds:ACI26586 A/Siena/5/1991 1991/12/21 NP	0.96386
cds:ACK99458 A/Siena/1/1991 1991/12/17 NP	0.96386
cds:ACL12133 A/Shangdong/9/1993 1993// NP	0.96386
cds:AAA51488 A/Guangdong/38/1977 1977// NP	0.96586
cds:AAC63426 A/Akita/1/95 1995// NP	0.96586
cds:AAZ74610 A/Memphis/24/1995 1995// NP	0.96586
cds:ABB04287 A/Hong Kong/46/1980 1980// NP	0.96586
cds:ABB04309 A/Hong Kong/6/1985 1985// NP	0.96586
cds:ABC40559 A/Memphis/9/1980 1980// NP	0.96586
cds:ABG37223 A/Memphis/2/1990 1990// NP	0.96586
cds:ABG37300 A/New York/671/1995 1995/01/06 NP	0.96586
cds:AAA43241 A/Hong Kong/5/1983 1983// NP	0.96787
cds:ABB04353 A/Hong Kong/7/1985 1985// NP	0.96787
cds:ABB04921 A/Hong Kong/26/1983 1983// NP	0.96787
cds:ABB53755 A/Nanjing/13/1980 1980// NP	0.96787
cds:AAA51504 A/Memphis/18/1978 1978// NP	0.96988
cds:ABF21282 A/Bangkok/1/1979 1979// NP	0.96988
cds:ABP49496 A/Albany/15/1976 1976// NP	0.96988
cds:AAA51485 A/Beijing/39/1975 1975// NP	0.97189
cds:AAA51501 A/Memphis/4/1973 1973// NP	0.97189
cds:AAZ80011 A/Memphis/1/1971 1971// NP	0.97189
cds:ABB96378 A/Memphis/1/1977 1977// NP	0.97189
cds:AAA51496 A/Memphis/1/1971 1971// NP	0.97363
cds:AAA51502 A/Memphis/110/1976 1976// NP	0.97390
cds:AAA51503 A/Memphis/2/1978 1978// NP	0.97390
cds:AAD12236 A/Victoria/3/1975 1975// NP	0.97390
cds:ABB46396 A/Beijing/39/1975 1975// NP	0.97390
cds:ABB96323 A/Memphis/2/1978 1978// NP	0.97390
cds:ABO33073 A/Albany/14/1978 1978// NP	0.97390
cds:ABO52339 A/Albany/20/1974 1974// NP	0.97390
cds:BAA00478 A/Texas/1/1977 1977// NP	0.97390
cds:AAA51487 A/Guangdong/243/1972 1972// NP	0.97566
cds:AAA51497 A/Memphis/2/1972 1972// NP	0.97566
cds:AAA51498 A/Memphis/1022/1972 1972// NP	0.97566
cds:AAA51499 A/Memphis/101/1972 1972// NP	0.97590
cds:AAA51500 A/Memphis/1/1973 1973// NP	0.97590
cds:AAO46547 A/Caracas/1/71 1971// NP	0.97590
cds:ABB04298 A/Hong Kong/14/1974 1974// NP	0.97590
cds:ABB04932 A/Hong Kong/43/1975 1975// NP	0.97590
cds:ABC40623 A/Hong Kong/49/1974 1974// NP	0.97590
cds:ABC67569 A/Guandong/243/1972 1972// NP	0.97590
cds:ADT79069 A/Bilthoven/6449/1971 1971// NP	0.97590
cds:AAO46541 A/Taiwan/2/70 1970// NP	0.97791
cds:AAO46552 A/England/42/1972 1972// NP	0.97791
